,,,Supervalu,7075 Flying Cloud Dr.,Eden Prairie,Minnesota,55344,,
,,,Kraft Foods Group,3 Lakes Dr.,Northfield,Illinois,60093,,
,,,Goodyear Tire & Rubber,200 Innovation Way,Akron,Ohio,44316,,
,,,EOG Resources,1111 Bagby St.,Houston,Texas,77002,,
,,,CenturyLink,100 CenturyLink Dr.,Monroe,Louisiana,71203,,
,,,Altria Group,6601 W. Broad St.,Richmond,Virginia,23230,,
,,,Tenet Healthcare,1445 Ross Ave.,Dallas,Texas,75202,,
,,,General Mills,1 General Mills Blvd.,Minneapolis,Minnesota,55426,,
,,,eBay,2065 Hamilton Ave.,San Jose,California,95125,,
,,,ConAgra Foods,1 ConAgra Dr.,Omaha,Nebraska,68102,,
,,,Lear,21557 Telegraph Rd.,Southfield,Michigan,48033,,
,,,TRW Automotive Holdings,12001 Tech Center Dr.,Livonia,Michigan,48150,,
,,,United States Steel,600 Grant St.,Pittsburgh,Pennsylvania,15219,,
,,,Penske Automotive Group,2555 Telegraph Rd.,Bloomfield Hills,Michigan,48302,,
,,,AES,4300 Wilson Blvd.,Arlington,Virginia,22203,,
,,,Colgate-Palmolive,300 Park Ave.,New York,New York,10022,,
,,,Global Partners,800 South St.,Waltham,Massachusetts,2453,,
,,,Thermo Fisher Scientific,81 Wyman St.,Waltham,Massachusetts,2451,,
,,,PG&E Corp.,77 Beale St.,San Francisco,California,94105,,
,,,NextEra Energy,700 Universe Blvd.,Juno Beach,Florida,33408,,
,,,American Electric Power,1 Riverside Plaza,Columbus,Ohio,43215,,
,,,Baxter International,1 Baxter Pkwy.,Deerfield,Illinois,60015,,
,,,Centene,7700 Forsyth Blvd.,St. Louis,Missouri,63105,,
,,,Starbucks,2401 Utah Ave. S.,Seattle,Washington,98134,,
,,,Gap,2 Folsom St.,San Francisco,California,94105,,
,,,Bank of New York Mellon Corp.,1 Wall St.,New York,New York,10286,,
,,,Micron Technology,8000 S. Federal Way,Boise,Idaho,83716,,
,,,Jabil Circuit,10560 Dr. Martin Luther King,St. Petersburg,Florida,33716,,
,,,PNC Financial Services Group,249 Fifth Ave.,Pittsburgh,Pennsylvania,15222,,
,,,Kinder Morgan,1001 Louisiana St.,Houston,Texas,77002,,
,,,Office Depot,6600 N. Military Trail,Boca Raton,Florida,33496,,
,,,Bristol-Myers Squibb,345 Park Ave.,New York,New York,10154,,
,,,NRG Energy,211 Carnegie Center,Princeton,New Jersey,8540,,
,,,Monsanto,800 N. Lindbergh Blvd.,St. Louis,Missouri,63167,,
,,,PPG Industries,1 PPG Place,Pittsburgh,Pennsylvania,15272,,
,,,Genuine Parts,2999 Circle 75 Pkwy.,Atlanta,Georgia,30339,,
,,,Omnicom Group,437 Madison Ave.,New York,New York,10022,,
,,,Illinois Tool Works,3600 W. Lake Ave.,Glenview,Illinois,60026,,
,,,Murphy USA,200 Peach St.,El Dorado,Arkansas,71730,,
,,,Land O'Lakes,4001 Lexington Ave. N.,Arden Hills,Minnesota,55126,,
,,,Western Refining,123 W. Mills Ave.,El Paso,Texas,79901,,
,,,Western Digital,3355 Michelson Dr.,Irvine,California,92612,,
,,,FirstEnergy,76 S. Main St.,Akron,Ohio,44308,,
,,,Aramark,1101 Market St.,Philadelphia,Pennsylvania,19107,,
,,,DISH Network,9601 S. Meridian Blvd.,Englewood,Colorado,80112,,
,,,Las Vegas Sands,3355 Las Vegas Blvd. S.,Las Vegas,Nevada,89109,,
,,,Kellogg,1 Kellogg Sq.,Battle Creek,Michigan,49017,,
,,,Loews,667 Madison Ave.,New York,New York,10065,,
,,,CBS,51 W. 52nd St.,New York,New York,10019,,
,,,Ecolab,370 Wabasha St. N.,St. Paul,Minnesota,55102,,
,,,Whole Foods Market,550 Bowie St.,Austin,Texas,78703,,
,,,Chubb,15 Mountain View Rd.,Warren,New Jersey,7059,,
,,,Health Net,21650 Oxnard St.,Woodland Hills,California,91367,,
,,,Waste Management,1001 Fannin St.,Houston,Texas,77002,,
,,,Apache,2000 Post Oak Blvd.,Houston,Texas,77056,,
,,,Textron,40 Westminster St.,Providence,Rhode Island,2903,,
,,,Synnex,44201 Nobel Dr.,Fremont,California,94538,,
,,,Marriott International,10400 Fernwood Rd.,Bethesda,Maryland,20817,,
,,,Viacom,1515 Broadway,New York,New York,10036,,
,,,Lincoln National,150 N. Radnor Chester Rd.,Radnor,Pennsylvania,19087,,
,,,Nordstrom,1617 Sixth Ave.,Seattle,Washington,98101,,
,,,C.H. Robinson Worldwide,14701 Charlson Rd.,Eden Prairie,Minnesota,55347,,
,,,Edison International,2244 Walnut Grove Ave.,Rosemead,California,91770,,
,,,Marathon Oil,5555 San Felipe St.,Houston,Texas,77056,,
,,,Yum Brands,1441 Gardiner Lane,Louisville,Kentucky,40213,,
,,,Computer Sciences,3170 Fairview Park Dr.,Falls Church,Virginia,22042,,
,,,Parker-Hannifin,6035 Parkland Blvd.,Cleveland,Ohio,44124,,
,,,DaVita HealthCare Partners,2000 16th St.,Denver,Colorado,80202,,
,,,CarMax,12800 Tuckahoe Creek Pkwy.,Richmond,Virginia,23238,,
,,,Texas Instruments,12500 TI Blvd.,Dallas,Texas,75243,,
,,,WellCare Health Plans,8725 Henderson Rd.,Tampa,Florida,33634,,
,,,Marsh & McLennan,1166 Ave. of the Americas,New York,New York,10036,,
,,,Consolidated Edison,4 Irving Place,New York,New York,10003,,
,,,Oneok,100 W. Fifth St.,Tulsa,Oklahoma,74103,,
,,,Visa,900 Metro Center Blvd.,Foster City,California,94404,,
,,,Jacobs Engineering Group,155 N. Lake Ave.,Pasadena,California,91101,,
,,,CSX,500 Water St.,Jacksonville,Florida,32202,,
,,,Entergy,639 Loyola Ave.,New Orleans,Louisiana,70113,,
,,,Facebook,1601 Willow Rd.,Menlo Park,California,94025,,
,,,Dominion Resources,120 Tredegar St.,Richmond,Virginia,23219,,
,,,Leucadia National,520 Madison Ave.,New York,New York,10022,,
,,,"Toys R"" Us""""""",1 Geoffrey Way,Wayne,New Jersey,7470,,
,,,DTE Energy,1 Energy Plaza,Detroit,Michigan,48226,,
,,,Ameriprise Financial,1099 Ameriprise Financial Cen,Minneapolis,Minnesota,55474,,
,,,VF,105 Corporate Center Blvd.,Greensboro,North Carolina,27408,,
,,,Praxair,39 Old Ridgebury Rd.,Danbury,Connecticut,6810,,
,,,J.C. Penney,6501 Legacy Dr.,Plano,Texas,75024,,
,,,Automatic Data Processing,1 ADP Blvd.,Roseland,New Jersey,7068,,
,,,L-3 Communications,600 Third Ave.,New York,New York,10016,,
,,,CDW,200 N. Milwaukee Ave.,Vernon Hills,Illinois,60061,,
,,,Guardian Life Ins. Co. of Ameri,7 Hanover Sq.,New York,New York,10004,,
,,,Xcel Energy,414 Nicollet Mall,Minneapolis,Minnesota,55401,,
,,,Norfolk Southern,3 Commercial Place,Norfolk,Virginia,23510,,
